product_id,review_title,review_text,rating,sentiment,polarity,created_at
2f1a867c05b55f2b,Amazing camera,Build quality feels very premium in hand.,4,positive,0.85,2026-02-06 05:33:54
2f1a867c05b55f2b,Mixed feelings,Phone works fine for normal usage.,3,neutral,-0.11,2026-02-06 05:33:54
2f1a867c05b55f2b,Okay phone,Phone works fine for normal usage.,3,neutral,-0.15,2026-02-06 05:33:54
2f1a867c05b55f2b,Okay phone,Phone works fine for normal usage.,3,neutral,-0.14,2026-02-06 05:33:54
2f1a867c05b55f2b,Works as expected,Nothing exceptional but reliable.,3,neutral,-0.15,2026-02-06 05:33:54
2f1a867c05b55f2b,Mixed feelings,Performance and battery are balanced.,3,neutral,0.0,2026-02-06 05:33:54
2f1a867c05b55f2b,Average speaker,Device heats up during gaming.,2,negative,-0.79,2026-02-06 05:33:54
2f1a867c05b55f2b,Okay phone,Performance and battery are balanced.,3,neutral,0.08,2026-02-06 05:33:54
2f1a867c05b55f2b,Average speaker,Battery drains faster than expected.,2,negative,-0.55,2026-02-06 05:33:54
2f1a867c05b55f2b,Heating issues,Battery drains faster than expected.,2,negative,-0.77,2026-02-06 05:33:54
2f1a867c05b55f2b,Works as expected,Overall experience is acceptable.,3,neutral,-0.17,2026-02-06 05:33:54
2f1a867c05b55f2b,Too expensive,Speaker output is just average.,1,negative,-0.99,2026-02-06 05:33:54
2f1a867c05b55f2b,Amazing camera,Build quality feels very premium in hand.,5,positive,0.97,2026-02-06 05:33:54
2f1a867c05b55f2b,Best Android experience,Build quality feels very premium in hand.,5,positive,0.99,2026-02-06 05:33:54
2f1a867c05b55f2b,Blazing fast phone,Display quality is stunning and vibrant.,4,positive,0.98,2026-02-06 05:33:54
2f1a867c05b55f2b,Battery could be better,Not much improvement over previous model.,1,negative,-0.86,2026-02-06 05:33:54
2f1a867c05b55f2b,Works as expected,Nothing exceptional but reliable.,3,neutral,0.14,2026-02-06 05:33:54
2f1a867c05b55f2b,Okay phone,Performance and battery are balanced.,3,neutral,0.1,2026-02-06 05:33:54
2f1a867c05b55f2b,Best Android experience,Camera performance is outstanding and captures great detail.,4,positive,0.73,2026-02-06 05:33:54
2f1a867c05b55f2b,Not worth upgrade,Speaker output is just average.,2,negative,-0.87,2026-02-06 05:33:54
2f1a867c05b55f2b,Nothing special,Phone works fine for normal usage.,3,neutral,-0.09,2026-02-06 05:33:54
2f1a867c05b55f2b,Mixed feelings,Camera is good but not revolutionary.,3,neutral,-0.05,2026-02-06 05:33:54
2f1a867c05b55f2b,Amazing camera,Camera performance is outstanding and captures great detail.,4,positive,0.88,2026-02-06 05:33:54
2f1a867c05b55f2b,Average speaker,Battery drains faster than expected.,2,negative,-0.36,2026-02-06 05:33:54
2f1a867c05b55f2b,Premium build quality,Runs extremely smooth with no lag in daily use.,5,positive,0.6,2026-02-06 05:33:54
2f1a867c05b55f2b,Best Android experience,Display quality is stunning and vibrant.,4,positive,0.4,2026-02-06 05:33:54
2f1a867c05b55f2b,Okay phone,Nothing exceptional but reliable.,3,neutral,0.0,2026-02-06 05:33:54
